CodigoTerritorial,CodigoMesa,Mesa,NroVotantes
10102,1010200001001,1,877
10102,1010200001002,2,949
10102,1010200001003,3,987
10102,1010200001004,4,119
10102,1010200001005,5,924
10102,1010200001006,6,54
10102,1010200001007,7,972
10102,1010200001008,8,186
10102,1010200001009,9,828
10103,1010300010001,1,911
10103,1010300011001,1,678
10103,1010300011002,2,930
10103,1010300011003,3,279
10103,1010300011004,4,429
10103,1010300011005,5,187
10103,1010300011006,6,212
10103,1010300011007,7,727
10103,1010300011008,8,588
10103,1010300011009,9,237
10103,1010300011010,10,23
10103,1010300011011,11,693
10103,1010300011012,12,952
10103,1010300011013,13,404
10103,1010300011014,14,10
10103,1010300011015,15,202
10103,1010300011016,16,413
10103,1010300027001,1,144
10103,1010300027002,2,162
10103,1010300027003,3,805
10103,1010300027004,4,940
10103,1010300027005,5,60
10103,1010300027006,6,588
10103,1010300027007,7,569
10103,1010300027008,8,460
10103,1010300027009,9,806
10103,1010300027010,10,479
10103,1010300027011,11,409
10103,1010300027012,12,252
10103,1010300027013,13,593
10103,1010300027014,14,776
10201,1020100041001,1,762
10201,1020100041002,2,987
10201,1020100041003,3,677
10201,1020100041004,4,34
10201,1020100045001,1,423
10201,1020100045002,2,7
10201,1020100045003,3,121
10201,1020100045004,4,262
10201,1020100045005,5,356
10201,1020100045006,6,190
10201,1020100045007,7,684
10201,1020100045008,8,722
10201,1020100045009,9,382
10201,1020100045010,10,933
10201,1020100045011,11,70
10201,1020100045012,12,368
10201,1020100045013,13,338
10201,1020100045014,14,760
10201,1020100045015,15,62
10201,1020100045016,16,214
10201,1020100045017,17,79
10201,1020100062001,1,92
10201,1020100062002,2,893
10201,1020100062003,3,539
10201,1020100062004,4,131
10201,1020100062005,5,528
10301,1030100067001,1,587
10301,1030100067002,2,927
10301,1030100067003,3,144
10301,1030100067004,4,778
10301,1030100067005,5,880
10301,1030100067006,6,341
10301,1030100067007,7,606
10301,1030100067008,8,601
10301,1030100067009,9,405
10301,1030100067010,10,176
10301,1030100067011,11,959
10301,1030100067012,12,440
10301,1030100067013,13,621
10301,1030100067014,14,583
10302,1030200081001,1,781
10302,1030200081002,2,757
10302,1030200081003,3,347
10302,1030200081004,4,459
10302,1030200081005,5,468
10302,1030200081006,6,80
10302,1030200087001,1,45
10302,1030200087002,2,236
10302,1030200087003,3,788
10302,1030200087004,4,501
10302,1030200087005,5,257
10302,1030200087006,6,734
10302,1030200087007,7,276
10302,1030200087008,8,235
10302,1030200087009,9,752
10302,1030200087010,10,37
10303,1030300097001,1,10
10303,1030300097002,2,702
10303,1030300097003,3,582
10303,1030300097004,4,745
10303,1030300097005,5,706
10303,1030300097006,6,553
10303,1030300097007,7,248
10303,1030300097008,8,421
10303,1030300097009,9,153
10303,1030300097010,10,674
10303,1030300097011,11,233
10303,1030300097012,12,257
10303,1030300097013,13,223
10303,1030300097014,14,721
10303,1030300097015,15,457
10303,1030300097016,16,859
10303,1030300097017,17,331
10303,1030300097018,18,366
10304,1030400115001,1,718
10304,1030400115002,2,266
10304,1030400115003,3,323
10304,1030400115004,4,893
10304,1030400115005,5,699
10304,1030400115006,6,992
10304,1030400121001,1,364
10304,1030400121002,2,745
10304,1030400121003,3,912
10304,1030400121004,4,847
10401,1040100125001,1,542
10401,1040100125002,2,97
10401,1040100125003,3,13
10401,1040100125004,4,645
10401,1040100125005,5,126
10401,1040100125006,6,733
10401,1040100125007,7,48
10401,1040100132001,1,717
10401,1040100132002,2,195
10401,1040100132003,3,714
10401,1040100132004,4,482
10401,1040100132005,5,705
10401,1040100132006,6,722
10401,1040100132007,7,945
10401,1040100132008,8,532
10401,1040100132009,9,774
10401,1040100132010,10,141
10401,1040100132011,11,520
10401,1040100143001,1,621
10401,1040100143002,2,92
10401,1040100143003,3,257
10401,1040100143004,4,126
10401,1040100143005,5,158
10401,1040100143006,6,173
10401,1040100143007,7,279
10402,1040200150001,1,133
10402,1040200150002,2,215
10402,1040200150003,3,630
10402,1040200150004,4,195
10402,1040200150005,5,917
10402,1040200150006,6,648
10402,1040200150007,7,608
10402,1040200150008,8,845
10402,1040200150009,9,353
10402,1040200150010,10,11
10402,1040200150011,11,377
10402,1040200161001,1,712
10402,1040200161002,2,642
10402,1040200161003,3,444
10402,1040200161004,4,787
