acta_id,departamento,provincia,municipio,recinto,mesa,candidato_1,candidato_2,candidato_3,candidato_4,votos_nulos,votos_blancos,total_votos,ciudadanos_habilitados,observacion
ACTA-1010200001001,Chuquisaca,Oropeza,Yotala,U.E. Padresama,1010200001001,140,39,124,345,64,76,788,877,
ACTA-1010200001002,Chuquisaca,Oropeza,Yotala,U.E. Padresama,1010200001002,28,158,155,347,50,71,809,949,
ACTA-1010200001003,Chuquisaca,Oropeza,Yotala,U.E. Padresama,1010200001003,183,32,52,481,97,12,857,987,
ACTA-1010200001004,Chuquisaca,Oropeza,Yotala,U.E. Padresama,1010200001004,9,31,24,38,1,15,118,119,
ACTA-1010200001005,Chuquisaca,Oropeza,Yotala,U.E. Padresama,1010200001005,250,1,111,410,70,28,870,924,Falta de datos de apertura o cierre: Omisión de la hora exacta de inicio o finalización de la jornada electoral en el acta.
ACTA-1010200001006,Chuquisaca,Oropeza,Yotala,U.E. Padresama,1010200001006,0,9,2,26,4,4,45,54,
ACTA-1010200001007,Chuquisaca,Oropeza,Yotala,U.E. Padresama,1010200001007,84,91,13,522,69,86,865,972,
ACTA-1010200001008,Chuquisaca,Oropeza,Yotala,U.E. Padresama,1010200001008,26,13,32,88,14,11,184,186,
ACTA-1010200001009,Chuquisaca,Oropeza,Yotala,U.E. Padresama,1010200001009,113,85,34,412,77,37,758,828,
ACTA-1010300010001,Chuquisaca,Oropeza,Poroma,U.E. Guillermo Urquidi,1010300010001,26,84,88,460,48,117,823,911,
ACTA-1010300011001,Chuquisaca,Oropeza,Poroma,Escuela Gualberto Villarroel,1010300011001,84,65,112,201,25,49,536,678,
ACTA-1010300011002,Chuquisaca,Oropeza,Poroma,Escuela Gualberto Villarroel,1010300011002,48,247,138,306,40,121,900,930,
ACTA-1010300011003,Chuquisaca,Oropeza,Poroma,Escuela Gualberto Villarroel,1010300011003,13,39,14,153,15,42,276,279,
ACTA-1010300011004,Chuquisaca,Oropeza,Poroma,Escuela Gualberto Villarroel,1010300011004,47,99,8,133,10,47,344,429,
ACTA-1010300011005,Chuquisaca,Oropeza,Poroma,Escuela Gualberto Villarroel,1010300011005,22,3,4,109,17,27,182,187,
ACTA-1010300011006,Chuquisaca,Oropeza,Poroma,Escuela Gualberto Villarroel,1010300011006,47,28,30,86,7,12,210,212,
ACTA-1010300011007,Chuquisaca,Oropeza,Poroma,Escuela Gualberto Villarroel,1010300011007,116,168,65,155,15,73,592,727,
ACTA-1010300011008,Chuquisaca,Oropeza,Poroma,Escuela Gualberto Villarroel,1010300011008,11,87,89,300,6,49,542,588,
ACTA-1010300011009,Chuquisaca,Oropeza,Poroma,Escuela Gualberto Villarroel,1010300011009,49,19,27,62,2,31,190,237,
ACTA-1010300011010,Chuquisaca,Oropeza,Poroma,Escuela Gualberto Villarroel,1010300011010,3,2,4,12,1,0,22,23,
ACTA-1010300011011,Chuquisaca,Oropeza,Poroma,Escuela Gualberto Villarroel,1010300011011,21,94,129,306,34,16,600,693,Mesa en lugar distinto: Funcionamiento de la mesa de sufragio en un recinto diferente al autorizado por la autoridad electoral.
ACTA-1010300011012,Chuquisaca,Oropeza,Poroma,Escuela Gualberto Villarroel,1010300011012,229,84,149,324,2,31,819,952,
ACTA-1010300011013,Chuquisaca,Oropeza,Poroma,Escuela Gualberto Villarroel,1010300011013,14,65,70,184,6,12,351,404,
ACTA-1010300011014,Chuquisaca,Oropeza,Poroma,Escuela Gualberto Villarroel,1010300011014,1,1,0,6,0,1,9,10,
ACTA-1010300011015,Chuquisaca,Oropeza,Poroma,Escuela Gualberto Villarroel,1010300011015,13,41,2,71,11,28,166,202,
ACTA-1010300011016,Chuquisaca,Oropeza,Poroma,Escuela Gualberto Villarroel,1010300011016,28,10,9,356,7,1,411,413,
