CodigoTerritorial,CodigoMesa,Mesa,NroVotantes
10101,10101001001,1,339
10101,10101001002,2,920
10101,10101001003,3,894
10102,10102002001,1,175
10102,10102002002,2,661
10102,10102002003,3,756
10102,10102002004,4,73
10102,10102002005,5,925
10102,10102002006,6,24
10102,10102002007,7,695
10102,10102002008,8,636
10102,10102002009,9,606
10102,10102002010,10,799
10102,10102002011,11,595
10102,10102002012,12,133
10102,10102002013,13,800
10102,10102002014,14,930
10102,10102002015,15,622
10102,10102002016,16,940
10102,10102002017,17,18
10103,10103003001,1,898
10103,10103003002,2,951
10103,10103003003,3,683
10103,10103003004,4,13
10103,10103003005,5,871
10103,10103003006,6,170
10103,10103003007,7,619
10103,10103003008,8,882
10201,10201004001,1,815
10201,10201004002,2,69
10201,10201004003,3,673
10201,10201004004,4,182
10201,10201004005,5,863
10201,10201004006,6,805
10201,10201004007,7,995
10201,10201004008,8,785
10201,10201004009,9,111
10201,10201004010,10,683
10201,10201004011,11,121
10201,10201004012,12,164
10201,10201004013,13,721
10201,10201004014,14,241
10201,10201004015,15,493
10201,10201004016,16,45
10201,10201004017,17,994
10201,10201004018,18,583
10201,10201004019,19,85
10202,10202005001,1,10
10202,10202005002,2,74
10301,10301006001,1,829
10301,10301006002,2,737
10301,10301006003,3,185
10301,10301006004,4,920
10301,10301006005,5,120
10301,10301006006,6,162
10301,10301006007,7,79
10301,10301006008,8,322
10301,10301006009,9,741
10301,10301006010,10,325
10301,10301006011,11,926
10301,10301006012,12,304
10301,10301006013,13,317
10302,10302007001,1,61
10302,10302007002,2,361
10302,10302007003,3,5
10302,10302007004,4,1
10302,10302007005,5,709
10302,10302007006,6,198
10302,10302007007,7,888
10302,10302007008,8,468
10302,10302007009,9,791
10302,10302007010,10,916
10302,10302007011,11,140
10302,10302007012,12,467
10302,10302007013,13,403
10302,10302007014,14,937
10302,10302007015,15,624
10302,10302007016,16,176
10302,10302007017,17,600
10302,10302007018,18,913
10302,10302007019,19,722
10302,10302007020,20,512
10303,10303008001,1,59
10303,10303008002,2,5
10303,10303008003,3,7
10303,10303008004,4,448
10303,10303008005,5,250
10303,10303008006,6,550
10303,10303008007,7,572
10303,10303008008,8,803
10303,10303008009,9,611
10303,10303008010,10,580
10303,10303008011,11,602
10303,10303008012,12,609
10303,10303008013,13,490
10303,10303008014,14,175
10303,10303008015,15,864
10303,10303008016,16,549
10303,10303008017,17,729
10303,10303008018,18,484
10303,10303008019,19,425
10303,10303008020,20,122
10304,10304009001,1,272
10304,10304009002,2,531
10304,10304009003,3,463
10304,10304009004,4,739
10401,10401010001,1,945
10401,10401010002,2,961
10401,10401010003,3,605
10401,10401010004,4,307
10402,10402011001,1,679
10403,10403012001,1,132
10403,10403012002,2,135
10403,10403012003,3,18
10403,10403012004,4,149
10403,10403012005,5,547
10403,10403012006,6,798
10403,10403012007,7,38
10403,10403012008,8,142
10403,10403012009,9,981
10404,10404013001,1,494
10404,10404013002,2,754
10404,10404013003,3,639
10404,10404013004,4,85
10404,10404013005,5,61
10404,10404013006,6,762
10404,10404013007,7,641
10404,10404013008,8,742
10404,10404013009,9,115
10405,10405014001,1,734
10405,10405014002,2,815
10405,10405014003,3,727
10405,10405014004,4,486
10405,10405014005,5,99
10405,10405014006,6,678
10405,10405014007,7,18
10405,10405014008,8,892
10405,10405014009,9,102
10405,10405014010,10,498
10405,10405014011,11,864
10405,10405014012,12,23
10405,10405014013,13,761
10405,10405014014,14,901
10405,10405014015,15,779
10501,10501015001,1,482
10501,10501015002,2,477
10501,10501015003,3,543
10501,10501015004,4,373
10501,10501015005,5,678
10501,10501015006,6,76
10501,10501015007,7,180
10501,10501015008,8,7
10501,10501015009,9,611
10501,10501015010,10,153
10501,10501015011,11,569
10501,10501015012,12,158
10501,10501015013,13,190
10501,10501015014,14,322
10501,10501015015,15,127
10502,10502016001,1,641
10502,10502016002,2,836
10502,10502016003,3,763
10502,10502016004,4,134
10502,10502016005,5,587
10502,10502016006,6,214
10502,10502016007,7,151
10502,10502016008,8,803
10502,10502016009,9,686
10502,10502016010,10,803
10502,10502016011,11,387
10502,10502016012,12,444
10502,10502016013,13,705
10601,10601017001,1,236
10601,10601017002,2,354
10601,10601017003,3,620
10601,10601017004,4,436
10601,10601017005,5,232
10601,10601017006,6,250
10602,10602018001,1,373
10602,10602018002,2,525
10602,10602018003,3,797
10602,10602018004,4,678
10602,10602018005,5,825
10602,10602018006,6,579
10701,10701019001,1,314
10701,10701019002,2,758
10701,10701019003,3,85
10701,10701019004,4,969
