recintoCode,RecintoId,Recinto,Direccion,Mesas
10101,10101001,Instituto Particular Quillacollo,Calle Gral. Pando entre Santa Cruz y Beni,3
10102,10102002,U.E. Rumy Corral,Comunidad Rumy Corral Centro,17
10103,10103003,Sede Social de La O.T.B. Martin Cardenas (Ex Complejo El Carmen),Rumi Mayu (Colcapirhua),8
10201,10201004,Nucleo Educativo Chapisirca,Chapisirca,19
10202,10202005,U.E. Simon Bolivar,Calle Sucre a lado del Cementerio General,2
10301,10301006,Unidad Educativa Paracti (Villa Tunari),Paracti(Villa Tunari),13
10302,10302007,U.E. Tipa Pampa,Comunidad Tipa Pampa,20
10303,10303008,Unidad Educativa Molinero,Molinero,20
10304,10304009,Sede Social De Tipa Tipa,Tipa Tipa,4
10401,10401010,Unidad Educativa El Sausalito,Santa Rosa (Colcapirhua) c/ Martin Cardenas y Oscar Alfaro,4
10402,10402011,U.E. Humberto Portocarrero,Zona Pampa San Miguel,1
10403,10403012,Colegio Sebastian Pagador,Villa Sebastian Pagador Av. Machacamarca,9
10404,10404013,Unidad Educativa Panama,Panamo,9
10405,10405014,Unidad Educativa Chaqui Mayu,Ch Aquimayu,15
10501,10501015,Escuela Cristal Mayu,Cristal Mayu,15
10502,10502016,Unidad Educativa Nataniel Aguirre,Av Benemeritos del Chaco y Calle Walter Rocha,13
10601,10601017,Unidad Educativa Majo Pampa A,Majo Pampa,6
10602,10602018,U.E. Avispas,Carretera Cochabamba a Santa Cruz KM/144 Sindicato Avispas,6
10701,10701019,Unidad Educativa Central Villa Pereira,Villa Pereira,8
10702,10702020,Nucleo Escolar Villa Granado,Villa Granado,14
10703,10703021,Unidad Educativa Santiago,Achandara y Calle Imnominada,1
10704,10704022,U.E. Adolfo Mercado,Tacopaya,14
10801,10801023,Nucleo Educativo Chapisirca,Chapisirca,18
10901,10901024,U.E. Arasaya,Arasaya,10
10902,10902025,Nucleo Escolar Ismael Montes,Conda Baja,17
10903,10903026,U.E. Madre De La Divina Providencia,Otb Villa Armonia,10
11001,11001027,U.E. Nuestra Seoora de la Merced A,Av. Capiton Voctor Ustariz entre calle Sir Roonald Ross y Calle Antenor de la V?a Garcia,20
11002,11002028,Nucleo Escolar El Cercado,El Cercado,14
11003,11003029,U.E. Avelino Morida,Zubieta,18
20101,20101030,Unidad Educativa 14 de Septiembre,Calle Francisco Suarez entre Rigoberto Sains y Cesar Achaval,9
20102,20102031,Centro Integral Nioo Jesus Fe y Alegria,Calle 4 y Miraflores,1
20103,20103032,Unidad Educativa Waca Playa,Waca Playa,14
20104,20104033,Unidad Educativa 1ro de Mayo,Primero de Mayo,8
20105,20105034,U.E. Avelino Morida,Zubieta,13
20201,20201035,Unidad Educativa 14 de Septiembre,Calle Francisco Suarez entre Rigoberto Sains y Cesar Achaval,1
20202,20202036,U.E. Simon I. Patioo,Avenida Pairumani,3
20203,20203037,Nucleo Escolar Beta Raqay Pampa,Raqay Pampa,9
20204,20204038,Unidad Educativa Maria Emilia Riquelme (Ex Maria Cristina),Av. Cap. Victor Ustariz,11
20205,20205039,U.E. Abraham Flores Velasquez,Alalay,14
20206,20206040,Unidad Educativa Antonio Diez,Itocta,20
20301,20301041,U. E. Nuestra Seoora del Rosario,Pasaje Bolovar?Tarija,14
20302,20302042,Unidad Educativa Chaqui Mayu,Ch Aquimayu,12
20303,20303043,Hogar Comunitario Disneylandia,Zona Sud,4
20304,20304044,U.E. Cochabamba,Calle Jordon No 236,6
20305,20305045,Nucleo Escolar Simon Bolivar (Thiomoko),Cleomedes blanco y Atacama,4
20306,20306046,Escuela Elizardo Perez (Totorapampa),Totora Pampa,11
20307,20307047,U.E. Simon I. Patioo,Avenida Pairumani,5
20308,20308048,Sede Social de OTB Cerro San Miguel Alto,Calle Ayllu esquina calle Bonifacio,12
20401,20401049,Colegio Boliviano Argentino,Baptista y Colombia,8
20402,20402050,Instituto Tecnologico El Paso,Avenida Elias Meneces,19
20403,20403051,(Corcel) Penitenciaria San Antonio,Av. Ayacucho Frente a La Terminal,9
